CBSA_NAME,SITE_ID,SITE_NAME,SITE_LATITUDE,SITE_LONGITUDE,DATE,PM2.5,AQI_VALUE
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/3/2023,5.2,22
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/4/2023,16.5,60
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/5/2023,24,76
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/6/2023,9.2,38
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/7/2023,7.9,33
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/8/2023,7.8,33
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/9/2023,6,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/10/2023,8.8,37
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/11/2023,10.7,45
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/12/2023,10.7,45
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/13/2023,6.4,27
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/13/2023,5.5,23
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/14/2023,6,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/14/2023,4.8,20
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/15/2023,8.5,35
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/15/2023,6.8,28
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/16/2023,26.6,81
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/17/2023,46.4,128
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/17/2023,51.1,139
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/18/2023,20.9,70
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/19/2023,16.5,60
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/20/2023,9.5,40
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/20/2023,8.5,35
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/21/2023,5.7,24
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/22/2023,9.3,39
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/23/2023,11.3,47
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/23/2023,10.5,44
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/24/2023,10.7,45
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/25/2023,20.5,69
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/26/2023,20.8,69
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/26/2023,19.2,66
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/27/2023,14.7,56
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/28/2023,6.9,29
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/29/2023,4.4,18
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/30/2023,5.6,23
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/31/2023,5.3,22
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,8/1/2023,10.5,44
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,8/2/2023,20.4,68
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,8/3/2023,17.9,63
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,8/4/2023,18,63
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,8/4/2023,18.4,64
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,8/5/2023,17.6,63
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,8/5/2023,19.1,66
